time;averageAirTemp;averageWindchill;averageHeatindex;averageDewPointTemperature;averageRelativeHumidity;averageAirPressure;averageSeaLevelPressure;averageWindDirection;maxWindSpeed;averageWindSpeed;rainAccumulation;rainIntensity;averagePm10
"2018-02-11 00:00:00+01:00";-0.27416666666667;-0.06375;75.241458333333;-5.9047222222222;66.08875;983.72986111111;1009.3979861111;93;3.9;1.0504166666667;0;0;
"2018-02-12 00:00:00+01:00";1.4068055555556;1.7260416666667;67.467847222222;-3.8283333333333;68.232777777778;983.82673611111;1009.3348611111;248;4.1;0.95986111111111;0;0;
"2018-02-13 00:00:00+01:00";1.0917361111111;0.93159722222222;68.9275;-3.7452083333334;70.324722222222;988.82118055555;1014.4911805556;35;4;1.3876388888889;0.04;0;
"2018-02-14 00:00:00+01:00";-0.28236111111111;-1.2720833333333;75.711944444445;-4.5336111111111;73.103611111111;989.89243055556;1015.721875;36;5.8;2.1163194444444;0;0;
"2018-02-15 00:00:00+01:00";-0.90652777777778;-1.2084027777778;79.082569444444;-5.7025694444445;70.010625;995.235625;1021.2672916667;63;3.7;1.4936805555556;0;0;
"2018-02-16 00:00:00+01:00";-0.080069444444443;-0.16222222222222;74.951666666666;-4.613125;71.652291666667;996.25618055556;1022.2251388889;256;5.2;1.3288194444444;0;0;
"2018-02-17 00:00:00+01:00";1.0645833333333;1.4872916666667;69.918541666667;-4.6678472222222;66.152291666667;996.98715277778;1022.8734027778;215;3.3;0.85770833333333;0;0;
"2018-02-18 00:00:00+01:00";1.2771527777778;1.0135416666667;65.780347222221;-5.7900694444444;59.890972222222;998.369375;1024.2788194444;336;5.3;1.484375;0;0;
"2018-02-19 00:00:00+01:00";0.54368055555556;-0.16805555555555;64.142708333334;-9.1552777777778;48.67;996.66055555555;1022.5877777778;86;5;1.8849305555556;0;0;
"2018-02-20 00:00:00+01:00";-2.35375;-3.5401388888889;84.966527777778;-8.7004166666667;62.134097222222;991.02590277778;1017.0804861111;68;5.3;2.2571527777778;0;0;
"2018-02-21 00:00:00+01:00";-2.5198611111111;-3.0231944444444;86.413263888889;-8.4365277777778;63.889236111111;992.85444444444;1018.9840972222;17;4.6;1.6529861111111;0;0;
"2018-02-22 00:00:00+01:00";-2.1540972222222;-3.7911111111111;83.167083333333;-8.5215277777777;61.885347222222;994.70437499999;1020.83875;60;5.5;2.6513194444444;0;0;
"2018-02-23 00:00:00+01:00";-3.4855555555556;-4.8620138888889;91.5975;-9.276875;64.396111111111;994.46777777778;1020.7300694444;44;6.4;2.39625;0;0;
"2018-02-24 00:00:00+01:00";-6.5440972222222;-7.8736805555556;107.05944444444;-12.876875;61.0425;995.35777777778;1021.9490277778;343;7.8;2.3070138888889;0;0;
"2018-02-25 00:00:00+01:00";-11.164791666667;-11.940347222222;135.89069444444;-17.544861111111;59.566527777778;999.98243055555;1027.1693055556;6;4.9;1.7954166666667;0;0;
"2018-02-26 00:00:00+01:00";-10.772638888889;-12.577916666667;132.90618055556;-17.210902777778;59.543263888889;996.63020833333;1023.6910416667;56;6.3;2.5913888888889;0;0;
"2018-02-27 00:00:00+01:00";-11.833472222222;-14.613888888889;139.56409722222;-18.282083333333;58.833194444444;991.80194444444;1018.8402777778;60;6.8;3.3209027777778;0;0;
"2018-02-28 00:00:00+01:00";-10.892569444444;-12.511319444444;136.42256944444;-16.884652777778;61.555694444444;995.06618055556;1022.0918055556;58;6.7;2.4348611111111;0;0;
"2018-03-01 00:00:00+01:00";-10.811041666667;-11.452222222222;133.16645833333;-17.422013888889;58.744097222222;991.21618055556;1018.1263194444;82;4.9;1.7199305555556;0;0;
"2018-03-02 00:00:00+01:00";-10.022777777778;-11.714861111111;126.62215277778;-17.237222222222;56.183819444444;978.65840277778;1005.1556944444;61;6.5;2.5422222222222;0;0;
"2018-03-03 00:00:00+01:00";-9.4568055555556;-9.4966666666667;118.11902777778;-17.333194444445;53.418472222222;977.30576388889;1003.7067361111;21;3.9;1.2434722222222;0;0;
"2018-03-04 00:00:00+01:00";-6.9550694444444;-6.8403472222222;105.92888888889;-15.46;52.314097222222;981.17881944444;1007.4350694444;74;3.4;1.1464583333333;0;0;
"2018-03-05 00:00:00+01:00";-0.67451388888889;-0.47895833333333;74.018958333333;-10.182083333333;49.833055555556;977.04673611111;1002.5830555556;51;3.6;1.0765277777778;0;0;
"2018-03-06 00:00:00+01:00";2.9989583333333;3.0122916666667;59.218055555555;-3.5109027777778;62.968055555556;968.98638888889;993.96215277778;51;3.9;1.2356944444444;0.29;0;
"2018-03-07 00:00:00+01:00";4.4120138888889;3.893125;55.300555555556;-1.294375;67.836388888889;969.65958333334;994.52208333334;244;8.1;1.8280555555556;0;0;
"2018-03-08 00:00:00+01:00";5.2038194444444;4.665625;52.501527777778;-2.2397222222222;60.082569444444;978.800625;1003.8313888889;256;8.5;1.8854861111111;0;0;42.084243369735
"2018-03-09 00:00:00+01:00";4.2;3.4584027777778;55.927291666666;-4.0046527777778;57.023125;982.14729166666;1007.3545833333;277;8;2.0938194444444;0.81;0;59.358136300417
"2018-03-10 00:00:00+01:00";6.6882638888889;7.1840277777778;50.010625;-1.6010416666667;57.034027777778;982.87708333333;1007.8832638889;292;3.4;0.77826388888889;0;0;82.831944444444
"2018-03-11 00:00:00+01:00";9.9693055555555;10.285486111111;40.192638888889;0.95458333333334;55.325763888889;978.95715277778;1003.5701388889;56;3.9;0.97111111111111;0;0;55.469770674079
"2018-03-12 00:00:00+01:00";12.197916666667;11.174583333333;33.908611111111;2.444375;52.459305555556;971.00854166667;995.219375;176;10;2.52;0.02;0;11.460041695622
"2018-03-13 00:00:00+01:00";10.648263888889;9.7290277777778;36.330694444445;1.9200694444445;55.234583333333;975.491875;999.94472222222;258;7.4;2.3113194444444;0.02;0;14.771527777778
"2018-03-14 00:00:00+01:00";5.903125;5.5844444444444;48.508055555556;1.2416666666667;72.243194444445;981.62027777778;1006.6578472222;263;5.6;1.5802083333333;0.98;0;46.367616400278
"2018-03-15 00:00:00+01:00";4.6845138888889;4.2701388888889;53.190902777778;-0.72645833333333;68.430347222222;983.17118055555;1008.3650694444;62;4.6;1.6448611111111;0;0;34.629603891591
"2018-03-16 00:00:00+01:00";2.7095833333333;1.6265277777778;60.640277777777;-0.55958333333334;79.071597222222;977.06423611111;1002.2766666667;52;6.4;2.2404166666667;3.53;0;31.778472222222
"2018-03-17 00:00:00+01:00";-4.4888194444445;-7.5370833333333;97.866944444444;-9.9046527777778;65.989930555556;983.35104166667;1009.4170833333;59;8.7;3.8072222222222;0;0;13.264255910987
"2018-03-18 00:00:00+01:00";-6.7202083333333;-10.695694444444;103.24611111111;-14.134930555556;55.939444444444;986.03277777778;1012.3948611111;67;8.8;4.5094444444445;0;0;8.6381944444444
"2018-03-19 00:00:00+01:00";-5.8923611111111;-7.6936111111111;104.33104166667;-12.064097222222;61.805486111111;984.2775;1010.4982638889;70;7.5;2.6955555555556;0;0;18.198054204309
"2018-03-20 00:00:00+01:00";-4.0088888888889;-4.3501388888889;94.18;-9.9409027777778;63.483055555556;984.24319444444;1010.2879861111;296;3.9;1.5104861111111;0;0;42.77275886032
"2018-03-21 00:00:00+01:00";-1.1958333333333;-2.2195833333333;69.452430555556;-11.211041666667;47.695416666667;994.61722222222;1020.6565972222;304;7;2.1600694444444;0;0;48.476719944406
"2018-03-22 00:00:00+01:00";0.58916666666667;0.225625;62.190069444445;-11.089375;43.228958333333;990.17034722222;1015.9284722222;250;7.1;1.6275694444444;0;0;48.452397498263
